Metals and Alloys,unit,Quantity 2010-11(R),Value 2010-11(R),Quantity 2011-12,Value 2011-12,Quantity 2012-13 (P),Value 2012-13 (P)
All Metals and Alloys,NA,NA,940524476,NA,1024998008,NA,1394959253
Aluminium alloys and scrap,tonne,428253,56530539,506310,72024819,566762,87132703
Antimony alloys and scrap,tonne,954,464038,1410,872560,2123,1311070
Bismuth and Scrap,tonne,NA,351,1,979,5,5460
Boron,tonne,48,12818,NA,NA,NA,NA
Cadmium waste and scrap,tonne,20,11027,9,3304,15,3211
Cement copper (precipitated),tonne,2,175,1,74,NA,18
Chromium and alloys (scrap),tonne,18,12041,10,9236,20,21917
Cobalt alloys and Scrap - Total,tonne,281,450877,298,424072,67,80649
Cobalt alloys and Scrap - Cobalt and alloys,tonne,275,448270,285,414093,58,73025
Cobalt alloys and Scrap - Cobalt (scrap),tonne,6,2607,13,9979,9,7624
Copper and alloys(incl.brass and bronze) - Total,tonne,564164,201100005,334913,136844498,332327,157315073
Copper and alloys(incl.brass and bronze) - Copper and alloys,tonne,529962,191568150,287488,121138330,291463,137247527
Copper and alloys(incl.brass and bronze) - Copper (scrap),tonne,2709,903167,7531,2749738,4992,1791011
Copper and alloys(incl.brass and bronze) - Copper Alloys ( Scrap),tonne,19,4971,53,60422,31,41164
Copper and alloys(incl.brass and bronze) - Brass and bronze,tonne,31266,8589523,39216,12766019,34938,18012767
Copper and alloys(incl.brass and bronze) - Brass and bronze (scrap),tonne,208,34194,625,129989,903,222604
Ferro alloys  - Total,tonne,1554988,94468214,1532694,83992730,1683184,101964984
Ferro alloys - Ferro-boron,tonne,1,157,2,351,2,721
Ferro alloys - Ferro-chrome,tonne,774429,50865971,567660,32760788,517724,33106639
Ferro alloys - Ferro-columbium,tonne,48,7028,2,3711,4,6180
Ferro alloys - Ferro charge -chrome,tonne,6,1074,39,4709,66,7286
Ferro alloys - Ferro-manganese,tonne,106272,6232130,159122,8379784,157871,8857051
Ferro alloys - Ferro-molybdenum,tonne,1646,788314,292,223797,735,447766
Ferro alloys - Ferro-nickel,tonne,NA,NA,NA,413,1715,1800674
Ferro alloys - Ferro-niobium,tonne,1754,28857,14,6445,1,1737
Ferro alloys - Ferro-phosphorous,tonne,216,6184,240,6401,18,1555
Ferro alloys - Ferro-selenium,tonne,NA,NA,NA,NA,NA,50
Ferro alloys - Ferro-silicon,tonne,41963,2965091,46422,3265270,18824,1459548
Ferro alloys - Ferro-tantalum,tonne,NA,NA,10,860,NA,NA
Ferro alloys - Ferro-titanium,tonne,46,5065,1041,56766,116,21763
Ferro alloys - Ferro-tungsten,tonne,8,1475,16,5239,157,28124
Ferro alloys - Ferro-vanadium,tonne,186,44847,209,92494,488,458454
Ferro alloys - Ferro-zirconium,tonne,26,1706,115,10269,2,541
