Metals and Alloys,Unit,Qunatity 2012-13(R) ,Value 2012-13(R) 
All Metals and Alloys,NA,NA,1406138832
Aluminium And Alloys Incl. Scrap ,Tonne,566662,87154851
Antimony Alloys And Scrap ,Tonne,2123,1311070
Bismuth and Scrap ,Tonne,5,5460
Boron ,Tonne,NA,....
Cadmium (Incl. Waste and Scrap) ,Tonne,15,3211
Chromium and Alloys ,Tonne,20,21917
Cobalt and Alloys(Incl Waste And Scrap) ,Tonne,67,80649
Copper and Alloys (Incl. Brass and Bronze) ,Tonne,331478,157325127
Copper (Cement Copper Precipitated) ,Tonne,NA,18
Ferro Alloys ,Tonne,1676644,101504136
Gold (Non-Monetory and Monetory): ,Kg,85349,241164115
Gold-Clad Metals/Base Metales Nes ,Tonne,NA,878
Iron  and Steel ,Tonne,10377748,723047018
Lead And Alloys Incl. Scrap ,Tonne,47155,6339031
Magnesium and Scrap ,Tonne,234,25839
Manganese and Alloys (Incl Waste and Scrap) ,Tonne,138,88492
Mercury ,Tonne,44,62034
Molybdenum and Scrap ,Tonne,10,110819
Nickel And Alloys Incl. Scrap ,Tonne,21615,22779944
Other Rare Metals Nes ,Tonne,4,4405
Pig and Cost Iron (Incl.  Speigeliesen) ,Tonne,433884,10218710
Platinium  Alloys  and Related Metals ,Kg,1780,209126
Platinium - Clad Base /Precious Metal ,Kg,397,556
Preciuos Metals / Metals Clad With Preciuos Metals ,Tonne,794,24478920
Selenium ,Tonne,192,879234
Silicon ,Tonne,93,10506
Silver ,Tonne,38,1928248
Silver Clad Base Metals ,Kg,563,4616
Tantalum  and Scrap ,Tonne,7,78116
Tellurium ,Tonne,31,3478
Tin And Alloys Incl. Scrap ,Tonne,1504,329765
Titanium and Alloys(Incl. Waste and Scrap) ,Tonne,195,268751
Tungsten And Alloys Incl. Scrap ,Kg,408664,1951349
Zinc And Alloys Incl. Scrap ,Tonne,198676,24748100
Zirconium and Scrap ,Tonne,1,343
