Mineral,Unit,Qunatity 2012-13(R) ,Note of Qunatity 2012-13(R) ,Value 2012-13(R) ,Qunatity 2013-14(P) ,Note of Qunatity 2013-14(P) ,Value 2013-14(P) ,Qunatity 2014-15(P) ,Note of Qunatity 2014-15(P) ,Value 2014-15(P) ,,,,,
All Metals and Alloys,NA,NA,**,1406138832,NA,**,1531563802,NA,**,1671198494,,,,,
Aluminium And Alloys Incl. Scrap ,Tonne,566662,NA,87154851,707217,NA,116253038,1033006,NA,173770732,,,,,
Antimony Alloys And Scrap ,Tonne,2123,NA,1311070,1864,NA,1063470,2371,NA,1209763,,,,,
Bismuth & Scrap ,Tonne,5,NA,5460,NA,++,703,NA,++,2331,,,,,
Boron ,Tonne,NA,....,....,NA,++,53,NA,++,119,,,,,
Cadmium (Incl. Waste & Scrap) ,Tonne,15,NA,3211,68,NA,4553,74,NA,4545,,,,,
Chromium & Alloys ,Tonne,20,NA,21917,73,NA,77559,94,NA,72047,,,,,
Cobalt & Alloys(Incl Waste And Scrap) ,Tonne,67,NA,80649,111,NA,32028,109,NA,124799,,,,,
Copper & Alloys (Incl. Brass & Bronze) ,Tonne,331478,NA,157325127,333082,NA,171115615,459468,NA,205662295,,,,,
Copper (Cement Copper Precipitated) ,Tonne,NA,++,18,NA,++,32,NA,++,41,,,,,
Ferro Alloys ,Tonne,1676644,NA,101504136,1727542,NA,105054411,1623899,NA,99837096,,,,,
Gold (Non-Monetory & Monetory): ,Kg,85349,NA,241164115,70721,NA,183513035,69894,NA,172166206,,,,,
Gold-Clad Metals/Base Metales Nes ,Tonne,NA,++,878,NA,....,....,NA,++,2,,,,,
Iron  & Steel ,Tonne,10377748,NA,723047018,11959782,NA,833731286,11982434,NA,869190611,,,,,
Lead And Alloys Incl. Scrap ,Tonne,47155,NA,6339031,80865,NA,11994067,76289,NA,10617034,,,,,
Magnesium & Scrap ,Tonne,234,NA,25839,280,NA,65276,66,NA,30471,,,,,
Manganese & Alloys (Incl Waste & Scrap) ,Tonne,138,NA,88492,199,NA,100365,134,NA,111364,,,,,
Mercury ,Tonne,44,NA,62034,83,NA,270391,8,NA,37675,,,,,
Molybdenum & Scrap ,Tonne,10,NA,110819,77,NA,161373,55,NA,188842,,,,,
Nickel And Alloys Incl. Scrap ,Tonne,21615,NA,22779944,26459,NA,26246009,46771,NA,55174050,,,,,
Other Rare Metals Nes ,Tonne,4,NA,4405,2,NA,17098,NA,++,4203,,,,,
Pig & Cost Iron (Incl.  Speigeliesen) ,Tonne,433884,NA,10218710,1113219,NA,26350078,650353,NA,15064847,,,,,
Platinium  Alloys  & Related Metals ,Kg,1780,NA,209126,1357,NA,985444,78,NA,83710,,,,,
Platinium - Clad Base /Precious Metal ,Kg,397,NA,556,152,NA,524,11,NA,625,,,,,
Preciuos Metals / Metals Clad With Preciuos Metals ,Tonne,794,NA,24478920,531,NA,18900402,581,NA,25052694,,,,,
Selenium ,Tonne,192,NA,879234,143,NA,440707,124,NA,350157,,,,,
Silicon ,Tonne,93,NA,10506,84,NA,17642,260,NA,34175,,,,,
Silver ,Tonne,38,NA,1928248,31,NA,1127885,5,NA,346251,,,,,
Silver Clad Base Metals ,Kg,563,NA,4616,2,NA,42,22375,NA,264220,,,,,
Tantalum  & Scrap ,Tonne,7,NA,78116,3,NA,49216,5,NA,93874,,,,,
Tellurium ,Tonne,31,NA,3478,24,NA,6979,NA,++,93,,,,,
Tin And Alloys Incl. Scrap ,Tonne,1504,NA,329765,4102,NA,5022785,2217,NA,2372272,,,,,
Titanium & Alloys(Incl. Waste & Scrap) ,Tonne,195,NA,268751,118,NA,163435,174,NA,197302,,,,,
Tungsten And Alloys Incl. Scrap ,Kg,408664,NA,1951349,745397,NA,2265367,475385,NA,1574148,,,,,
Zinc And Alloys Incl. Scrap ,Tonne,198676,NA,24748100,194976,NA,26530058,246395,NA,37553145,,,,,
Zirconium & Scrap ,Tonne,1,NA,343,3,NA,2876,8,NA,6755,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
