Mineral,Unit,Quantity 2013-14,Value 2013-14 (Value in Thousand Rupees),Quantity 2014-15,Value 2014-15 (Value in Thousand Rupees),Quantity 2015-16(Provisional),Value 2015-16(Provisional) (Value in Thousand Rupees),Note of Quantity 2013-14,Note of Value 2013-14 (Value in Thousand Rupees),Note of Quantity 2014-15,Note of Value 2014-15 (Value in Thousand Rupees),Note of Quantity 2015-16(Provisional),Note of Value 2015-16(Provisional) (Value in Thousand Rupees)
All Metals & Alloys,NA,NA,1531563802,NA,1672956951,NA,1529126095,NA,NA,NA,NA,NA,NA
Aluminium And Alloys Incl. Scrap,tonne,707217,116253038,1034006,173771032,1153445,171195447,NA,NA,NA,NA,NA,NA
Antimony Alloys And Scrap,tonne,1864,1063470,2371,1209763,2034,840904,NA,NA,NA,NA,NA,NA
Bismuth & Scrap,tonne,NA,703,NA,2331,2,2751,Negligble,NA,Negligble,NA,NA,NA
Boron,tonne,NA,53,NA,119,NA,21,Negligble,NA,Negligble,NA,Negligble,NA
Cadmium (Incl. Waste & Scrap),tonne,68,4553,74,4545,115,9373,NA,NA,NA,NA,NA,NA
Chromium & Alloys,tonne,73,77559,94,72047,58,50866,NA,NA,NA,NA,NA,NA
Cobalt & Alloys(Incl Waste And Scrap),tonne,111,32028,109,124799,80,63277,NA,NA,NA,NA,NA,NA
Copper & Alloys (Incl. Brass & Bronze),tonne,333082,171115615,462183,205730340,415782,161726798,NA,NA,NA,NA,NA,NA
Copper (Cement Copper Precipitated),tonne,NA,32,NA,41,13,7520,Negligble,NA,Negligble,NA,NA,NA
Ferro Alloys: Charge-Chrome,tonne,59,8177,10,2036,1,208,NA,NA,NA,NA,NA,NA
Ferro Silico-Chrome,tonne,NA,NA,3,384,NA,NA,Nil,Nil,NA,NA,Nil,Nil
Ferro Silico-Manganese,tonne,930729,51710078,918847,53051405,671904,31326678,NA,NA,NA,NA,NA,NA
Ferro-Alloys (Others),tonne,25750,920928,2975,316896,19817,1312227,NA,NA,NA,NA,NA,NA
Ferro-Boron,tonne,4,1314,28,7412,53,10662,NA,NA,NA,NA,NA,NA
Ferro-Chrome,tonne,563098,38158023,426245,27051294,449430,27954674,NA,NA,NA,NA,NA,NA
