Metals and Alloys,Unit,Quantity 2014-15,Value 2014-15 (Value in Thousand Rupees)
All Metals and Alloys,NA,NA,1672956951
Aluminium And Alloys Incl. Scrap,Tonne,1034006,173771032
Antimony Alloys And Scrap,Tonne,2371,1209763
Bismuth and Scrap,Tonne,NA,2331
Boron,Tonne,NA,119
Cadmium (Incl. Waste and Scrap),Tonne,74,4545
Chromium and Alloys,Tonne,94,72047
Cobalt and Alloys(Incl Waste And Scrap),Tonne,109,124799
Copper and Alloys (Incl. Brass and Bronze),Tonne,462183,205730340
Copper (Cement Copper Precipitated),Tonne,NA,41
Ferro Alloys : Total,Tonne,2169453,99837096
Gold (Non-Monetory and Monetory):Total,Kg,70796,174423808
Gold-Clad Metals/Base Metales Nes,Tonne,NA,2
Iron and Steel : Total,Tonne,12077670,868623121
Lead And Alloys Incl. Scrap,Tonne,76289,10617034
Magnesium and Scrap,Tonne,66,30471
Manganese and Alloys (Incl Waste and Scrap),Tonne,134,111364
Mercury,Tonne,8,37675
Molybdenum and Scrap,Tonne,55,188842
Nickel And Alloys Incl. Scrap,Tonne,46771,55174050
Other Rare Metals Nes,Tonne,NA,4203
Pig and Cost Iron (Incl.  Speigeliesen),Tonne,650353,15064847
Platinium  Alloys  and Related Metals,Kg,78,83710
Platinium - Clad Base /Precious Metal,Kg,11,625
Preciuos Metals / Metals Clad With Preciuos Metals,Tonne,581,25052694
Selenium,Tonne,124,350157
Silicon,Tonne,260,34175
Silver,Tonne,5,346251
Silver Clad Base Metals,Kg,22375,264220
Tantalum  and Scrap,Tonne,5,93874
Tellurium,Tonne,NA,93
Tin And Alloys Incl. Scrap,Tonne,2217,2372272
Titanium and Alloys(Incl. Waste and Scrap),Tonne,174,197302
Tungsten And Alloys Incl. Scrap,Kg,475385,1574148
Zinc And Alloys Incl. Scrap,Tonne,246395,37553145
Zirconium and Scrap,Tonne,8,6755
