Metals and Alloys,Unit,Quantity - 2015-16 (R),Value - 2015-16,Quantity - 2016-17 (P),Value - 2016-17,Quantity - 2017-18 (P),Value - 2017-18
All Metals and Alloys,NA,NA,1529126142,NA,1821860400,NA,1902939386
Aluminium And Alloys Incl. Scrap,tonne,1153445,171195449,1546990,216150533,2010162,307872663
Antimony Alloys And Scrap,tonne,2034,840903,1668,750059,1899,970687
Bismuth and Scrap,tonne,2,2751,NA,68,3,4558
Boron,tonne,NA,21,1,14,NA,26
Cadmium (Incl. Waste and Scrap),tonne,115,9373,237,19876,199,20076
Cement (Copper Precipitated),tonne,13,7520,NA,NA,161,7083
Chromium and Alloys,tonne,58,50866,80,63279,56,36325
Cobalt and Alloys(Incl Waste And Scrap): Total,tonne,80,63278,37,56720,218,222962
   Cobalt and Alloys,tonne,70,54905,25,52460,113,165545
   Cobalt and Scrap,tonne,10,8373,12,4260,105,57417
Copper and Alloys (Incl. Brass and Bronze): Total,tonne,415782,161726801,450292,175766074,511463,220349207
   Brass and Bronze,tonne,31917,23316757,40008,31407198,34231,27441691
   Brass and Bronze (Scrap),tonne,1285,287807,1794,403422,2046,517816
   Copper and Alloys,tonne,379489,137136898,405326,143055151,471914,191304773
   Copper (Scrap),tonne,3091,985339,3164,900303,3272,1084927
   Copper Alloys and Scrap,tonne,NA,NA,NA,NA,NA,NA
Ferro Alloys : Total,tonne,1350224,72257850,1541794,101280507,1955757,143284849
   Ferro-Boron,tonne,53,10662,91,14608,103,14677
   Ferro-Chrome,tonne,449430,27954672,706756,52675081,791863,60038253
   Ferro-Charge-Chrome,tonne,1,208,1,362,1,136
   Ferro-Cobalt,tonne,NA,144,NA,146,NA,243
   Ferro-Columbium,tonne,10,6894,3,6262,5,9965
   Ferro-Manganese,tonne,170167,8255066,127368,7317747,307108,24302484
   Ferro-Molybdenum,tonne,140,53665,162,121113,506,440840
   Ferro-Nickel,tonne,NA,73,NA,107,NA,2
   Ferro-Niobium,tonne,11,24104,13,19545,3,4679
   Ferro-Phosphorous,tonne,44,7562,43,4968,162,16559
   Ferro-Selenium,tonne,NA,288,NA,860,NA,1333
   Ferro-Silicon,tonne,29912,2344427,18381,1354987,20650,1815140
   Ferro-Tantalum,tonne,NA,NA,NA,47,NA,NA
   Ferro-Titanium,tonne,120,18248,299,46063,564,110740
   Ferro-Tungsten,tonne,16,18217,11,12638,6,5845
   Ferro-Vanadium,tonne,67,55754,460,493144,213,410524
   Ferro-Zirconium,tonne,5,2652,58,11240,NA,24
   Ferro Silico-Chrome,tonne,NA,NA,8,858,NA,NA
   Ferro-Silico-Magnesium,tonne,8527,866310,9249,856923,10078,951910
   Ferro Silico-Manganese,tonne,671904,31326676,672039,37948700,818015,54608451
   Ferro-Alloys (Others),tonne,19817,1312228,6852,395108,6480,553044
