Metals and Alloys,Unit,Quantity - 2015-16,Value - 2015-16,Quantity - 2016-17 (P),Value - 2016-17 (P),Note of Quantity - 2015-16,Note of Value - 2015-16,Note of Quantity - 2016-17 (P),Note of Value - 2016-17 (P)
All Metals & Alloys,NA,NA,1529126142,NA,1821860400,**,NA,**,NA
Aluminium And Alloys Incl. Scrap,tonne,1153445,171195449,1546990,216150533,NA,NA,NA,NA
Antimony Alloys And Scrap,tonne,2034,840903,1668,750059,NA,NA,NA,NA
Bismuth & Scrap,tonne,2,2751,NA,68,NA,NA,++,NA
Boron,tonne,NA,21,1,14,++,NA,NA,NA
Cadmium (Incl. Waste & Scrap),tonne,115,9373,237,19876,NA,NA,NA,NA
Cement (Copper Precipitated),tonne,13,7520,NA,NA,NA,NA,---,---
Chromium & Alloys,tonne,58,50866,80,63279,NA,NA,NA,NA
Cobalt & Alloys(Incl Waste And Scrap),tonne,80,63278,37,56720,NA,NA,NA,NA
Copper & Alloys (Incl. Brass & Bronze),tonne,33202,23604564,41802,31810620,NA,NA,NA,NA
Ferro Alloys,tonne,1350224,72257850,1541794,101280507,NA,NA,NA,NA
Gold (Non-Monetory & Monetory):Total,Kg,135275,325665937,133032,361795422,NA,NA,NA,NA
Gold-Monetory,Kg,NA,NA,NA,NA,----,----,----,----
Gold-Nonmonetory,Kg,135275,325665937,133032,361795422,NA,NA,NA,NA
Gold-Clad Metals/Base Metales Nes,tonne,NA,NA,NA,137,---,---,++,NA
Iron & Steel,tonne,9122896,677365384,15440562,861511743,NA,NA,NA,NA
Lead And Alloys Incl. Scrap,NA,NA,NA,NA,NA,---,---,---,---
Magnesium & Scrap,tonne,169,36843,115,14078,NA,NA,NA,NA
Manganese & Alloys (Incl Waste & Scrap),tonne,190,150384,278,178614,NA,NA,NA,NA
Mercury,tonne,63,46787,49,113381,NA,NA,NA,NA
Molybdenum & Scrap,tonne,12,152053,12,143814,NA,NA,NA,NA
Nickel And Alloys Incl. Scrap,tonne,37512,32072432,8708,6115822,NA,NA,NA,NA
Other Rare Metals Nes,tonne,NA,632,1,3137,++,NA,NA,NA
Pig & Cost Iron (Incl. Speigeliesen),tonne,328278,6041510,489383,9618050,NA,NA,NA,NA
Platinium Alloys & Related Metals,Kg,36,21310,344,404007,NA,NA,NA,NA
Platinium - Clad Base /Precious Metal,Kg,10,86,5,414,NA,NA,NA,NA
Preciuos Metals / Metals Clad With Preciuos Metals,tonne,1980,29307616,3313,27814115,NA,NA,NA,NA
Selenium,tonne,85,97482,203,257267,NA,NA,NA,NA
Silicon,tonne,36,9426,43,7114,NA,NA,NA,NA
Silver,tonne,24,481460,28,756462,NA,NA,NA,NA
Silver Clad Base Metals,Kg,291,2514,4049,11141,NA,NA,NA,NA
Tantalum & Scrap,tonne,2,42584,4,62507,NA,NA,NA,NA
Tellurium,tonne,NA,114,1,59,++,NA,NA,NA
Tin & Alloys Incl. Scrap,tonne,4199,3829835,1275,723630,NA,NA,NA,NA
Titanium & Alloys(Incl. Waste & Scrap),tonne,171,195611,114,201474,NA,NA,NA,NA
Tungsten Alloys & Scrap,Kg,313688,1196647,372621,1198574,NA,NA,NA,NA
Zinc And Alloys Incl. Scrap,tonne,257634,34345663,228025,40967513,NA,NA,NA,NA
Zirconium & Scrap,tonne,236,25879,11,6661,NA,NA,NA,NA
