Metals and Alloys,Unit,Quantity 2008-09,Value 2008-09,Quantity 2009-10,Value 2009-10
All Metals and Alloys,,**,822391369,**,579753977
Aluminium alloys and scrap,tonne,429433,53404671,440762,49177673
Antimony alloys and scrap,tonne,57,17537,32,13998
Bismuth and Scrap,tonne,10,9032,20,12650
Boron,tonne,383,44812,356,84795
Cadmium waste and scrap,tonne,++,2276,53,11864
Cement copper (precipitated),tonne,14,531,…,…
Chromium and alloys (scrap),tonne,11,231901,7,4770
Cobalt alloys and Scrap:Total,tonne,274,704376,187,340757
   Cobalt and alloys,tonne,245,695140,168,338720
   Cobalt (scrap),tonne,29,9236,19,2037
Copper and alloys(incl.brass and bronze):Total,tonne,278655,80988135,303749,85146161
   Copper and alloys,tonne,245683,72084889,274690,77997519
   Copper (scrap),tonne,768,186253,2250,530500
   Copper Alloys ( Scrap),tonne,5,1013,19,2759
   Brass and bronze,tonne,31967,8639392,26565,6571018
   Brass and bronze (scrap),tonne,232,76588,225,44365
Ferro alloys : Total,tonne,960100,68781535,862769,41394476
   Ferro-boron,tonne,2,380,3,629
   Ferro-chrome,tonne,491677,34188265,471953,21848549
   Ferro-columbium,tonne,…,…,1,82
   Ferro charge -chrome,tonne,1001,53644,++,3
   Ferro-manganese,tonne,121533,11214086,66521,3388350
   Ferro-molybdenum,tonne,888,53679,1766,237214
   Ferro-nickel,tonne,8,3873,++,9
   Ferro-niobium,tonne,192,41614,118,23717
   Ferro-phosphorous,tonne,169,5637,11,740
   Ferro-selenium,tonne,++,19,….,….
   Ferro-silicon,tonne,37170,2804810,20106,1156561
   Ferro-titanium,tonne,2,457,6,881
   Ferro-tungsten,tonne,3,128,1,232
   Ferro-vanadium,tonne,388,52353,29,6729
   Ferro-zirconium,tonne,24,2462,1,262
   Ferro silico-chrome,tonne,26,2363,….,….
   Ferro-silico-magnesium,tonne,3295,282169,3597,242902
   Ferro silico-manganese,tonne,300421,19983391,298301,14469837
   Ferro-alloys (others),tonne,3301,92205,355,17779
"Gold,non-monetory and monetory: Total",Kg,3680,1289329,22990,9827212
Gold- Monetory,Kg,236,296055,1,105
"  Gold,non-monetory : Total",Kg,3444,993274,22989,9827107
        Powder,Kg,130,39,25,67
        Other unwrought forms,Kg,1900,927523,22667,9396337
        Other Semi-manufactured form,Kg,1414,65712,297,430703
Gold - clad metales / base metals NES,tonne,++,947,1,1473
Iron and Steel : Total,tonne,8381102,505364618,6115076,342946993
  Iron and Steel(Finished steel incld. C.R. sheets),tonne,4187785,232711945,3143360,157564745
  Iron and Steel (Semi-finished steel incl. ingots),tonne,2658246,130865923,1710812,69818464
  Iron and Steel (Steel wire),tonne,83461,10567362,72363,7800739
  Iron and Steel (Sponge iron),tonne,29594,728806,52284,1191090
  Iron and Steel (scrap),tonne,28548,1044012,23849,341729
  Iron and Steel : Alloy steel (Granules)),tonne,361,13927,155,19314
  Iron and Steel : Alloy steel (Powder)),tonne,356,31493,571,26620
"  Iron and Steel  (Other finished steel, NES)",tonne,1392751,129401150,1111682,106184292
Lead and alloys and scrap:Total,tonne,12566,1302253,53779,5469186
   Lead and alloys,tonne,12471,1296644,53658,5458634
   Lead (scrap),tonne,95,5609,121,10552
Magnesium and scrap,tonne,152,24255,25,9405
Manganese and alloys ( incl. waste and scrap ),tonne,267,72865,68,64327
Manganese and alloys (Unwrought and Wrought),tonne,27,21039,23,19109
Manganese andAlloys NES,tonne,220,51133,44,45030
Manganese waste and scrap,tonne,20,693,1,188
Mercury,tonne,99,55204,15,10817
Molybdenum and scrap,tonne,17,56201,7,39440
Nickel and alloys (incl. scrap):Total,tonne,1565,1104883,1524,1103460
  Nickel and alloys,tonne,1500,1074313,1375,1041448
  Nickel (scrap),tonne,65,30570,149,62012
Other rare metals NES,tonne,7,16742,19,23233
Pig and cast iron incl. spiegeliesen,tonne,541757,14671746,620990,10870770
"Platinum,Alloys and related Metals : Total",Kg,36491,67717779,10587,643700
"   Platinum (powder,unwrought and others)",Kg,33046,67540466,10586,643678
   Other metals of platinum group,Kg,3445,177313,1,22
Platinum-clad base /precious metals,Kg,65,749,….,….
Preciuos metals/metals clad with preciuos metals,tonne,329,5206994,388,7270953
Selenium,tonne,5594,290309,400,417874
Silver,tonne,35,677720,62,4263083
Silver clad base metals,Kg,458,1193,26,34
Silicon,tonne,289,26518,536,28455
Tantalum and scrap : Total,tonne,49,45013,7,7009
  Tantalum alloys unwrought,tonne,20,31944,++,2312
  Tantalum and scrap,tonne,29,13069,7,4697
Tellurium,tonne,++,220,44,22834
Tin and alloys (incl. scrap),tonne,2243,1296515,2315,598850
   Tin and alloys,tonne,1607,1216288,764,450443
   Tin and alloys: Worked,tonne,579,71190,1435,140417
   Tin (scrap),tonne,57,9037,116,7990
Titanium and Alloys (incl. waste and scrap ),tonne,60,236491,90,382639
Tungsten alloys and scrap,Kg,166283,290497,79513,412084
Zinc and alloys (incl. scrap),tonne,209434,18428890,175767,19140301
   Zinc and alloys,tonne,209374,18423436,175746,19134250
   Zinc (scrap),tonne,60,5454,21,6051
Zirconium and Scrap,tonne,138,28632,76,12701
